File Used,Matching Request Item From File,Applicable Department
DealRoom - Asset Purchase Due Diligence Checklist.xslx.xlsx,Please provide your balance sheet to the buyer,Finance
DealRoom - Master Diligence Request List.xlsx,Please provide an organizational chart showing the corporate structure of the Target and all subsidiaries and affiliates.,HR
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of all joint venture agreements, partnership agreements or agreements involving the sharing of profits or technology of the Target, or joint marketing, development or distribution efforts by the Target.",Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide the applicable governing documents for the Target and all subsidiaries and affiliates (e.g., Articles of Incorporation, Articles of Organization, Bylaws, Operating/LLC Agreement, Articles of Association, etc.).",Legal
DealRoom - Master Diligence Request List.xlsx,Please provide a list of all jurisdictions in which the Target and its subsidiaries and affiliates are licensed to do business.,Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide minutes and/or resolutions for all meetings of the board and shareholders/members, as applicable.",Legal
DealRoom - Master Diligence Request List.xlsx,Please provide copies of any contracts relating to any material acquisitions and/or divestitures of equity and/or assets (including via merger) completed by the Target within the past 5 years.,Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all related party transactions entered into in the past 3 years, including the key terms thereof and review/approval procedures applicable thereto.",Legal
DealRoom - Master Diligence Request List.xlsx,Please provide a professional biography for each member of the management team and any other key employees identified by Buyer.,Legal
DealRoom - Master Diligence Request List.xlsx,Please provide professional biography for each member of the board.,Legal
DealRoom - Master Diligence Request List.xlsx,"For Target and each subsidiary and/or affiliate, please provide a capitalization table showing the number of shares outstanding and the number of shares owned by each shareholder.","Legal, Finance"
DealRoom - Master Diligence Request List.xlsx,Please provide documentation evidencing each issuance of equity for the Target and each subisidiary and/or affiliate.,"Legal, Finance"
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all oustanding options, warrants, covertible notes, and any other right entitling the holder to obtain equity in the Target or any subisidiary or affiliate.","Legal, Finance"
DealRoom - Master Diligence Request List.xlsx,Please provide a copy of all outstanding debt instruments.,"Legal, Finance"
DealRoom - Master Diligence Request List.xlsx,Please provide a summary of all material litigation.,Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide a summary of all permits, licenses, and other authorizations that are required for the Target to conduct its business and copies thereof, including any required export control licenses.","Facilities, Legal"
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all agreements or instruments that place restrictions or encumbrances on assets (including property) of the Target (including security agreements and judicial or administrative orders).,Legal
DealRoom - Master Diligence Request List.xlsx,Please provide copies of all material contracts that are terminable upon a change of control or other corporate transaction.,Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of all contracts that restrict the Target's right to conduct its business (e.g., non-compete, non-solicitation, geographical restriction, pricing restrictions/most favored nation, etc.).",Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of all contracts under which the Target has any continuing obligations (e.g., covenants, indemnification, etc.).",Legal
DealRoom - Master Diligence Request List.xlsx,"Please provide copies of all indemnification agreements between the Target and any officers, directors or agents thereof.",Legal
